,business_id,cool,date,funny,review_id,stars,text,type,useful,user_id
394,uga5g16PncJOtY7Sc3A05w,0,2009-11-15,2,4xHYxGZHpuzSUaIqtFeY1A,5,"This might be the best run McDonalds in the Madison area. The drive-through runs incredibly fast! Plus, it's a throw back McDonalds with a displayed old milkshake machine that triggered Ray Kroc's involvement in the company, and resulted in him bringing in a franchise model that facilitated the restaurant's world-wide domination. However, who checks for a McDonalds rating?",review,3,DBp9UzN6WyaFhqzTn7dXIw
417,koRLvzIl-4fCybOIdk56jA,0,2007-05-11,1,ypNwIPenE77OJ9klbBYZow,5,"BEST.CREME.BRULEE.EVER!!

And the food, the piano bar, the service is ABSOLUTELY to die for.

Louisiannes is the kind of place that you can GENUINELY never go wrong.  It's in an underground cave, very ""Adams Family Values"" (Ok, isn't it bad that I compare it to a movie), their wine list is VERY extensive, and if you go at ~6ish, there's always the piano man, ready to delect you with a rendition of a bluesy jazzy tune...

While I think reservation is HIGHLY recommended (there's like 10 tables at MOST), it just so happens that everytime my husband and I go, we can get in.. Lucky us!!!

Seriously, by far one of the BEST restaurants in Madison (whoops Middleton).",review,0,AC4-bAcxK_E1nwUPaYYqmQ
431,koRLvzIl-4fCybOIdk56jA,0,2010-10-12,1,zadySdxEp2ED9CO42k22lw,5,"I don't care about ""ambiance"" or ""decor"" anymore.  I hit 40 and it doesn't matter to me anymore.

I am more concerned about food.

This food is awesome.

Go, it is incredible.",review,0,0iPA-UDoxZzA-HCByswY8g
449,koRLvzIl-4fCybOIdk56jA,0,2013-02-11,2,chC_bz58cHcbNauF4H0Muw,5,"Best place in the world, I cant endorse this shit enough. Best meal is as follows (although ive had other things here, all good, nothing touches this one)

App: Crawfish cheesecake, sounds weird but is best of Wisconsin and Louisiana at once. Cheese and crawfish. Done. 

Entree: Their special filet, basically take everything that is great and put it on a filet. Nothing more to say. Goat cheese and sun dried tomatoes makes this.

Desert: Chocolate creme brulee, exactly as it sounds, would choke a homeless person for this (wont be missed).

Live music also sometimes.",review,2,I47sJyiJ7zXA_CCSrVJZjw
509,YaaQx4qt1f36iFT4TWivAw,0,2013-08-25,1,oSflkr0AOD7R-1ic9fsatw,5,OMG. Go early and get everything you have ever wanted in European carb form. Yus Yus Yus.,review,0,TymK5byoMKhdW-r8QhxoJg
521,MBQc_jlZ3nlMOZy7SUM_5Q,1,2013-01-27,1,15fSUDCBRYh9NxdZm0R2Ug,5,"Cozy and Comfy. We were shuttled to and from the airport and to Epic. Convenient to a small shopping center and nearby restaurants. Staff are friendly and professional. Each day I came back to a clean room and replenished towels, shampoo, soap and 2 pieces of chocolates. Thanks Esther! :)",review,1,MTpsx3Fi8rL1Ke8dH_1_KQ
526,yuIcDVSy03FQe1RWhicDQw,1,2013-04-16,1,h49SJuBlvTlEIm1VhgW3Zg,5,"I'm having a rough go learning how to use power tools and drill ish into drywall, but a great time going to ACE and learning what I did wrong and buying the appropriate things to remedy the problem and try again. 

Some might say, ""measure twice, drill once"" or even, ""if you don't know what you're doing... ask first!"" But I was talking to my bud Annette J in Detroit and realized that part of owning a home is making improvements/adjustments, doing it completely wrong, then learning a ton from your mistakes. (Thanks Annette!) 

This week I learned that joint compound comes in an easy squirt tube and corner bead makes that nice 90 degree angle where pieces of drywall meet. I also learned that you can't secure anything into corner bead, which is why having a stud finder helps if you're looking to hang a 72"" long roman shade. I also learned that I can easily patch my mistakes with some handy dandy supplies from ACE and although it took a few employees to find ""the patch guy"" he was super informative about exactly what I would need to fix some holes and a chunk of dry wall where my poor shade decided it would rather hang than be secured to my window frame. 

Oh gravity. 

Jason H is right, these are some of the nicest people you'll meet with loads of info to help you do it right the second time. 

I wouldn't have it any other way.",review,4,lC0KGXmIhyjzghBUlVnkhQ
573,lN-5-YTsaJr_IByyA476iw,0,2013-08-15,1,xhanwW8s4_477HQeRzFQkw,5,"I'm not reviewing this place as a bowling alley, since I don't have the expertise to know what constitutes a good bowling experience.  If the shoes fit, the ball rolls down the lane, and the pins fall down, it's fine.

This review is all about the food.  Which, if you can't tell by the number of stars above these paragraphs, is pretty tasty.  To start, the cheese curds are required eating.  I think they just take cheddar cheese cubes, bread them, and fry them, but they are delicious when fresh.  Make sure to eat them quick, however, because, like all cheese curds, they harden when they cool and have a weird texture after that point.  

When you think bar food, you think burgers.  And the burgers at the Sport Bowl are excellent.  Not only are they excellent, they are fairly priced as well.  At lunch, you can get a burger + fries (battered!) + soda for eight bucks.  I can see some people thinking the burgers are too greasy, but the grease gives you a delightful ""contented, weighed down, and fuzzy-brained"" feeling afterwards.  

A quick rundown on other items I've tried: the meatball sub was so-so, but huge.  Go to Gino's a mile away if you're craving meatballs.  The turkey club is stacked high and tastes exactly as you would expect.  The patty melt is just a burger on bread, so obviously it rules hard.  The pizza is decent, with a crust that tastes like Pizza Hut's deep dish.  The fish fry is a lot of good food for a good price.  The ""Philly"" cheesesteak is too greasy even for me.

The best part about the Sport Bowl is that if you feel some postprandial guilt for your frenzied ingestion of large amounts of fat and grease, you can pop over to Willy West next door to get an organic hippie-smoothie.  But it will probably cost more than your entire meal here.",review,2,aiNWxSrNrRI3cgwbH4vw0A
587,O16EckCLtNoA49hewGht_w,2,2011-03-20,1,38WriQ0aKitAoCsGpYGgPg,5,"I started going to Dunn's Import in 1981 when I owned my first car, a Datsun 210. Almost 30 years later, Jeff Dunn is still taking care of my car, along with my 3 children's cars too! Every experience is a great one at Dunn's. The staff are friendly and professional, and know their stuff!!
I would recommend Dunn's Import to anyone who has a foreign car. I trust him to service my own children's cars.I think that says it all!",review,5,kYGPt0kFvkc1ItH3G_dT4w
609,G1qUGBNYNS220jKlPAlFsA,0,2009-02-17,1,QrVBo9kvwEHY4s3oZBOu6g,5,"Some part of me recognizes that the Village Green might be a bit of a hole in the wall, but I've been going there since before I could walk so I have to love it.  It's where ""the locals"" go for a burger and cheese curds.  Whether you graduated from MHS in 2004 or in 1969, you'll probably run into someone you know from high school.

I love this place because it hasn't changed a bit - the food is still awesome, they still don't take credit cards, and they still play nothing but football on the big screen tv up front.",review,0,OtRm66XaqoJYOuTMb94fsg
641,xm1RtU63jxjYsm-7dzGaZA,3,2006-01-14,2,BYt_R50AfAi55xK8WEdsZA,5,"My favorite Madison clothing store by far.  I coveted a pair of gold shoes they had over Christmas ($135!)  and managed to save enough to buy them....totally worth it!!  They are italian leather and SO beautiful.  Everything else in the store is the same way....it makes me wish I had unlimited funds and could get one of everything.  The guys clothing is fantastic too, although getting your boyfriend to shell out that kind of money to look ""metrosexual"" is sometimes a challenge. Something nice to keep in mind as well is that they have free alterations on non-sale clothing....I had a pair of jeans done and they actually put the detailing around the bottom back on....AMAZING!  5 stars.",review,3,sdk6OOrj9nZ8z6Ob0jcpDw
662,vnwpKCeTrmt3FgMrE7AM-w,0,2011-08-02,1,sw2esJ5e3pSv40zYh9vBmw,5,"I discovered BrandonEyes through word of mouth and I had an incredibly positive experience, which will result in a continuation of my patronage.

PRODUCT: 
First, their product selection is second to none. They have styles for anyone's taste - fun, practical, trendy, high fashion, you name it. As a result of their availability, I was able to find a pair of Ogi drill mounts that fit me wonderfully as well as a pair of polarized Kate Spade sunglasses (non-RX).

CUSTOMER SERVICE:
The optician that assisted me, Ben, has a natural talent for consultative sales. There was absolutely zero pressure involved and he helped me identify two products that genuinely fit my personality, appearance, and lifestyle. I was grateful that he was honest and as a result of his expertise I left with two pairs of eyewear that I can't wear enough.

EYE EXAMS:
I do not have experience with eye exams provided at Brandon Eyes. I usually purchase from an eyewear boutique in Milwaukee (which is where I live). My prescription from my original Doctor of Optometry was still current, but I wanted to try Brandon Eyes. Needless to say, my prescription was transferred (with no complications) to Brandon Eyes and I was able to buy eyewear.

I suggest visiting Brandon Eyes for any eyewear need and ask for Ben, though I am confident that any of the employees will be able to help.",review,2,8hyGisVTCpPs80DCfm32VA
668,kiAsweI4sOjDzGyz3Y_HsQ,1,2008-01-03,1,cMyqda8fDyeA06Tyoc0OKQ,5,"5 stars because 

1) it's Culver's and 

2) I refuse to let an LA resident (Tracy G) weigh down the supreme awesomeness that is Culver's based on her misunderstanding of cheese curd availability!",review,1,t9l2POeWgS-SLEHmyZrs6w
700,q8fD82us6uuGufvI44NoAg,1,2011-03-25,1,yhUZI9xK5aRKHwrzQ42NCQ,5,"""Ummm Good. Yummy. Tasty. What is this delicious piece? Do you wanna try this? It's good.""

Those are pretty much what my bf and I said to each other during our Valentine's day dinner. No footsies or romantic hand holding but just shuffling forks with an extreme eager to try each other's plate. Vin Santo is THAT good. 

I got seafood Ravioli with pine nuts, which completely blew me away. It is by far the best Italian food I've ever had. They made their own bread: crisp and tender. Their Tiramisu will brighten up all of your taste bulbs. Appetizers and desserts are made for sharing, so be friendly to each other, less conservative and share. Go make a reservation now. You'll love this place.",review,1,Me14ToRg4pzJGThwI5wGtg
786,Wn8NhS-L1ck6jbTjX88Kkg,0,2006-03-21,1,fWXdlGI1zdcnK40KO0mVLQ,5,"Well worth the drive for Madisonians. The brewery has a nice little bar inside and, in the summers, a beer garden outside.  The brewery also has something else inside: lots of really, really good beer.  If you're a fan of the Capitol Brewery, this is a religious pilgrimage.  There's a gift shop and a tour (which should be taken, camera in hand).  Standing in the warehouse surrounded by kegs stacked to the ceiling is a near-religious experience.",review,0,6eDMcGz8_plGfURvXmVUFQ
806,Wn8NhS-L1ck6jbTjX88Kkg,8,2013-06-10,6,N_yznbcwNoRW1-FhpVzMig,5,"Get out!
(No seriously... get out.)
Nothing beats a brew in one of Madison's best beer gardens. With a shady roof overhead (love that newer addition) and tables for you and an army of your friends, this is quickly becoming my fave locale for keeping hydrated.",review,7,lC0KGXmIhyjzghBUlVnkhQ
861,xLmC8OBxrfPkJCC1HzeNhg,2,2013-07-16,2,SFxzQr8qov6jcNCDXI-arQ,5,"I love this library. Love it. It is beautiful and quite large with a quiet room full of magazines (you can check out the ones from the previous months), piles of documentary DVDs, quiet corners to sit/hide in, screened porches that are open during the non-winter months, four self-check stations, an open area where you can fetch your own holds (and thanks to the wonders of technology you don't have to worry about somebody snaking your long-awaited stuff away from you), bunches of computers with access to the internet (even if you had to bring your impatient 3-year-old who thinks the word 'quiet' means 'be louder'), and a great used-book store run by some very sweet retirees. And that's just the stuff I've used. 

There are two different graphic novel sections: one for adults and one for kids. Finally, maybe my *most* favorite thing, is the Staff Picks section. It's mostly books but with a few DVDs too; I've found some worthy stuff there. 

There are dedicated children's librarians, friendly people at the information/reference desk (with little plaques that say please interrupt us), and book returns both inside and out. I've always been pro-library, but this place is just unbelievable. I feel so lucky to live near it.",review,3,jqMa8QhylASA1HT_CG9RyQ
862,xLmC8OBxrfPkJCC1HzeNhg,3,2014-03-18,2,LCqoAcnxcne0YtnX49zy5A,5,"I am a little biased - I worked in a library all through high school and into college. I also love books, I own A LOT of them, ask my husband, he just moved them all. So, I really haven't met a library I haven't liked, but the Sun Prairie library is top notch. Having recently re-located to the Sun Prairie area one of the places I really wanted to check out was the library. It did not disappoint. Here are the aspects of it that really stuck out to me: 
The snack shop - what a great idea! Who doesn't lose track of time at the library and need a little refueling? 
The ceilings and overall structure - very elegant. 
The staff - always kind and helpful. Not the stereotypical librarian who constantly shushes you. 
Plenty of places to sit and read undisturbed, unless you have children that is. 
The children's area. 
Screened in porch 
Plenty of activities and programing 
Reservable community rooms",review,4,C16vy9Z3VcNArNZEthU5uw
912,Xp7OA8gz7zDgB3I54jyb4g,0,2013-01-17,1,JWs1kUaZEnh3UE6FftqJAg,5,"We went here for a family Christmas brunch last month. Having lived in town for nearly 20 years, we had always seen but never actually been to SIR Hobo's. We had no idea what we were missing. When we first sat down, we were greated by a jolly waitress with a thick, possibly Greek accent. Her nametag said her name was Gerestina, but her attitude said she loved her job. The complimentary water was, in a word, exquisite. And the meal only got better. But the biggest surprise was when, about 20 minutes into our meal, a homeless man with a whooping cough and a peg leg stumbled through the door and colapsed. The cook came crashing out of the kitchen, carrying a CPR mask in one hand and a bloody meat cleaver in the other. Through his quick action, the cook was able to resucitate the homeless man. As we all applauded, the homeless man stood up to shake the cook's hand. The homeless man was crying and gave every single person in the restaurant a great big bear hug. It seems that SIR hobos still certainly cares for our fine city's hobo community.",review,0,yehRZvzxbdzr69Qw9yaS0Q
925,yV-eB-pQVeWE7W-WPC8BUg,0,2011-04-02,2,cgCncidvQlCl6JoA-BFpPQ,5,"I have been here twice, both times for breakfast. Both times I was *very* happy. 

I had the greek omelette (feta cheese, spinach, you know the deal) and thought I had died and gone to omelette heaven. Best I ever had. It came with this delicious tzaziki-type sauce on the side, which I should have brought home with me (I did finish the omelette at the restaurant). 

The second time I had this very interesting strawberry fritter french toast. I love french toast and all things sugary, and this was definitely sweet. It sort of had a filling (that was the strawberry part). It was delicious, but not for those who claim they don't like sweets. 

The service is terrific, very fast and genuine. The coffee is hot and just right. 

You'll likely be surrounded by various old men (with the occasional younger man sprinkled in), but these old guys know a good breakfast when they find one.",review,1,jqMa8QhylASA1HT_CG9RyQ
1008,jpxlSFhdrtbNyxS6vB036A,0,2013-07-15,1,KTCsJkoQbGF-zcIppGW43w,5,"Cheese, cheese and more cheese! Oh and wine, fudge and kitschy souvenirs, too. The anticipation of stopping here on the way back to Chicago from Hanock, WI made the three hour ride home more bearable. 

The staff was super friendly and willing to let you sample almost anything. I tried some cheese spreads, fudge and fancy cheeses such as Mango Habanero. I regret not picking up more cheese!",review,0,VnHX210vxr5iXfsEWBlhAw
1011,jpxlSFhdrtbNyxS6vB036A,1,2014-02-05,1,Wdc-wFfY_Xjp-A0YlE3Ijg,5,"Right off the freeway, next to a gas station. We couldn't visit Wisconsin without a trip We had low expectations since it looked cheesy (yes I said it) from the outside and we expected this place to be a regular liquor store. But it is truly a wonderful world of cheese, fudge,  great wine end beer selections. they have a table where you can sample any of their many cheese spreads. Here are some of the flavors: taco, smoked, port wine, bacon, pumpkin, cranberry, garlic, etc. So many choices, so little money unfortunately. Then there was the selection of blocks of every kind of cheese. 
The staff was very knowledgable and helpful. You can sample pretty much everything besides the alcohol, of course. I love this place and would come back someday, if I want to make the 9 hr drive again. But I got a brochure so I can order online too.",review,2,XHv_bE4oIiJhbdBaRzh7pA
1014,jpxlSFhdrtbNyxS6vB036A,1,2014-05-26,1,o4Qirhp5oe6DCPyCHwx3fw,5,"I love cheese! This place is like, I imagine, many others throughout Wisconsin. But since I went to this one and liked it, 5 stars.

We stopped here on a road trip and was happy to see it open before 10. Walking in we saw more than just a cheese house. They had specialty gifts, wine, beer and fudge amongst a haven of cheese. 

The people who worked here were incredibly helpful and friendly. They were happy to give advice about what beer we would like and happily cut samples of cheese. 

Although we only left with a 6 pack of Wisconsin only beer for $9.99, I was tempted to buy much much more. It is possible we will stop on our way back!",review,3,7NYwJuMOUnRjuSdqwyOOww
1138,T9l9Z3FKMSCIYvsP2g4efw,1,2012-05-28,1,Q-cZ0Rvv1qlirJfA_2_UUw,5,"My girlfriend called this place (found them through Yelp) after another salon butchered her bangs and cut them too short.  They let her drop in with no appointment, fixed her bangs, and made her very happy. 

They are really nice people, too.  She will definitely be going back there for any future hair appointments.  Actually, I probably will too.",review,1,90Afh2Z4ogJq7y23nfq5wA
1227,f5ntGOT9_0pCdeUaUVi9cg,3,2005-12-20,5,idtP_C96apaBLXJW4cHg7g,5,"Madison's great historic small concert venue.  Lot's of great bands play here.  I saw Weezer on their Pinkerton Tour with Nerf Herder (remember them? The Van Halen Song? Yes, I'm that old).",review,2,Bvh3IHeMzSPnJAe5QlBsSw
1231,f5ntGOT9_0pCdeUaUVi9cg,1,2010-10-13,1,jCTkwuURGVxIsUXC4oQgaQ,5,"The Barrymore is a great mid-size venue. Great sound, good sight lines, plenty of room to stand up front, and to top it all off, a ceiling of twinkling stars. Parking can be a little tricky, but after going a few times you learn the side streets. 

Some bands I've seen here include Stars, Bright Eyes, She & Him, Jonny Lang, The Mars Volta, and the Yeah Yeah Yeahs - one of the most memorable shows ever because Karen O. was swilling from a bottle of champagne, fell off the stage, and managed to keep singing the entire time without missing a note or spilling a drop.",review,0,LkmcnJNBfnvaZk6MoE_k5w
1270,cpGv6ES2hzPCtCUQgipwXw,3,2008-06-27,1,cgQ4qPIkk3VmVhUc-CgyRg,5,"New Orleans Take Out is all around greatness.  I absolutely love this place and everything on the menu.  When I was a kid the best times were when my father would take an afternoon delivery to the east side and swing by NOTO on the way back.  It was always such a great surprise when my sister and I would be called in for dinner, and right away you could smell those spices!  Those are some of my favorite memories, and to this day I get a rush of excitement just walking in to the place when I get that first waft...  It really is the best outside of the Gulf.

I really can't even start on what my favorites are because every time I pick something off the menu it becomes my new favorite.  The po' boys are without exception great.  The roast beef was my first love, and I keep coming back to this one.  The French bread is perfect - crisp and the perfect texture for the sandwich.  It took me a while to try the fried oyster po' boy - I was not so adventurous as a kid - but after trying this I see why this is my mother's favorite.  The Gulf shrimp and the fried chicken are incredible.  This place is a 5 star easily on the strength of the po' boys alone, but the rest of the menu is not to be skipped.  The jambalaya is great for those that can't take too much heat, and even better with a bit of Tabasco for those that can.  The shrimp creole - HOO BOY!  Spicy but not excessive, it has enough heat to get you sweating and the flavors are spot on.  Same for the shrimp etouffee.  The red beans & rice with double sausage is my all-time favorite comfort food.  Most of the time I can't make up my mind, so I hit up the Mardi Gras combo, which gives you all three.  Perfection!  And it all comes with a piece of cornbread to finish it all off.  

I've only been to the Fordem location, though there is another on Monroe Street.  I'm certain that had I not graduated prior to this location opening I would have made it a regular destination.  As it is, I love coming down Sherman then Fordem, and you're suddenly right there looking at the mural on the side of the building.  I call ahead whenever I plan to stop, but about half the time it is straight up impulse that brings me there.  No matter whatever else happens that day, it's always a good day if you've been to New Orleans Take Out.",review,3,uSlKnryLlnD3mvmG6DIyCg
1273,cpGv6ES2hzPCtCUQgipwXw,2,2009-04-16,2,Ajrv8Q_-ZF9fWrKiAn1Q0w,5,"I am kind of in love with this place.

The chicken po' boy has haunted me ever since I left Madison back in 2000 - perfect french roll, mayo, lettuce, tomato, pickle, and seasoned fried chicken breast = what you need.

Also what you need? an order of dirty rice. And that shit is spicy! Get a soda from the machine out front and walk to Tenny Park. Life is good.",review,3,fcjZqz5cS_JU8e4tpmeqqA
